date,symbol,open,high,low,close,volume,adj_close
2026-01-02,AAPL,183.50,185.20,182.10,184.75,52341000,184.75
2026-01-02,MSFT,374.20,378.50,372.80,377.10,21543000,377.10
2026-01-02,NVDA,460.00,472.50,458.10,469.20,38920000,469.20
2026-01-02,GOOGL,141.20,143.80,140.50,143.10,25680000,143.10
2026-01-02,META,384.50,390.20,383.00,388.70,18450000,388.70
2026-01-02,AMZN,185.30,188.40,184.10,187.90,32140000,187.90
2026-01-02,TSLA,245.80,252.30,244.10,248.60,82340000,248.60
2026-01-02,JPM,192.40,194.80,191.20,193.50,12340000,193.50
2026-01-02,BAC,36.80,37.40,36.50,37.10,48920000,37.10
2026-01-02,WFC,57.20,58.10,56.90,57.80,22310000,57.80
2026-01-02,GS,452.30,458.90,450.10,456.70,4230000,456.70
2026-01-02,MS,96.40,97.80,95.90,97.20,14560000,97.20
2026-01-02,JNJ,158.20,159.80,157.40,159.10,9870000,159.10
2026-01-02,UNH,498.30,503.50,496.10,501.40,3240000,501.40
2026-01-02,PFE,26.80,27.30,26.50,27.10,45670000,27.10
2026-01-02,ABBV,165.40,167.20,164.80,166.50,8920000,166.50
2026-01-02,XOM,108.30,110.20,107.80,109.60,19870000,109.60
2026-01-02,CVX,156.80,158.90,155.70,157.90,10230000,157.90
2026-01-02,PG,152.40,154.10,151.80,153.30,8760000,153.30
2026-01-02,KO,61.20,62.10,60.80,61.70,18430000,61.70
2026-01-03,AAPL,185.10,187.30,184.60,186.90,48230000,186.90
2026-01-03,MSFT,377.50,381.20,376.40,380.10,19870000,380.10
2026-01-03,NVDA,469.50,478.80,467.30,476.40,42180000,476.40
2026-01-03,GOOGL,143.40,145.80,142.80,145.20,28340000,145.20
2026-01-03,META,389.10,394.50,387.80,392.60,21230000,392.60
2026-01-03,AMZN,188.20,191.60,187.50,190.80,29870000,190.80
2026-01-03,TSLA,249.30,258.40,247.90,256.10,91230000,256.10
2026-01-03,JPM,193.80,196.20,193.10,195.40,13680000,195.40
2026-01-03,BAC,37.20,37.90,36.80,37.60,51230000,37.60
2026-01-03,WFC,57.90,58.70,57.40,58.40,24560000,58.40
2026-01-03,GS,457.10,463.40,455.80,461.20,4870000,461.20
2026-01-03,MS,97.50,99.10,97.00,98.40,16780000,98.40
2026-01-03,JNJ,159.40,161.20,158.90,160.70,10340000,160.70
2026-01-03,UNH,501.80,507.30,500.10,505.90,3680000,505.90
2026-01-03,PFE,27.20,27.80,26.90,27.50,42340000,27.50
2026-01-03,ABBV,166.80,168.40,165.90,167.80,9450000,167.80
2026-01-03,XOM,109.80,111.50,108.90,110.80,21430000,110.80
2026-01-03,CVX,158.20,160.40,157.10,159.60,11230000,159.60
2026-01-03,PG,153.60,155.30,152.80,154.80,9120000,154.80
2026-01-03,KO,61.80,62.70,61.20,62.30,16780000,62.30
2026-01-06,AAPL,187.20,189.60,186.50,189.10,55340000,189.10
2026-01-06,MSFT,380.40,385.10,379.80,383.90,22340000,383.90
2026-01-06,NVDA,476.80,488.30,475.10,485.70,46230000,485.70
2026-01-06,GOOGL,145.50,148.20,144.90,147.60,31230000,147.60
2026-01-06,META,393.00,399.80,391.50,397.30,24560000,397.30
2026-01-06,AMZN,191.20,194.80,190.30,193.50,34560000,193.50
2026-01-06,TSLA,256.80,265.40,254.90,263.20,98760000,263.20
2026-01-06,JPM,195.70,198.30,194.80,197.60,15230000,197.60
2026-01-06,BAC,37.70,38.50,37.30,38.20,56780000,38.20
2026-01-06,WFC,58.50,59.60,58.00,59.20,27890000,59.20
